31	3	1979	0.718	10.103	1.894	5.078	0.845	3.551
1	4	1979	1.888	10.986	3.879	7.415	0.806	4.657
2	4	1979	2.949	7.758	1.129	13.301	0.809	3.704
3	4	1979	0.642	11.57	-4.237	17.994	0.755	1.24
4	4	1979	0.793	11.395	-3.977	17.654	0.72	1.836
5	4	1979	2.493	10.283	-4.717	16.098	0.776	1.088
6	4	1979	0.021	11.198	-3.632	20.265	0.739	2.15
7	4	1979	8.089	7.149	-4.581	5.594	0.921	3.419
8	4	1979	3.492	9.535	3.791	17.477	0.86	4.249
9	4	1979	17.53	10.089	4.507	2.1	0.98	3.88
10	4	1979	10.516	10.943	9.614	2.255	0.97	5.17
11	4	1979	1.912	13.304	8.577	12.102	0.853	6.521
12	4	1979	4.597	11.514	8.2	20.761	0.767	7.605
13	4	1979	3.433	15.089	8.099	19.612	0.857	4.619
14	4	1979	0.223	16.135	4.256	20.429	0.842	3.476
15	4	1979	0.096	17.834	4.045	19.95	0.851	2.261
16	4	1979	0.051	15.225	6.222	19.709	0.726	3.233
17	4	1979	0.082	12.609	3.033	21.973	0.721	2.865
18	4	1979	0.443	11.766	4.602	7.373	0.756	2.009
19	4	1979	2.863	13.069	6.849	10.939	0.86	3.549
20	4	1979	1.219	10.273	4.939	8.131	0.797	4.45
21	4	1979	0.549	12.12	4.172	5.134	0.866	3.826
22	4	1979	3.413	11.935	5.724	12.019	0.854	4.98
23	4	1979	9.558	10.52	6.932	12.311	0.905	5.696
24	4	1979	4.271	10.698	5.444	12.203	0.839	4.297
25	4	1979	2.108	11.091	4.84	19.002	0.719	5.5
26	4	1979	2.077	11.27	3.725	17.259	0.788	4.339
27	4	1979	0.34	10.417	5.895	7.82	0.763	2.863
28	4	1979	1.027	13.176	6.845	12.323	0.801	4.853
29	4	1979	0.654	11.809	7.178	5.655	0.811	4.048
30	4	1979	0.728	9.805	5.763	11.374	0.637	5.148
1	5	1979	9.373	8.336	2.704	4.789	0.88	4.689
2	5	1979	2.65	7.413	0.472	19.672	0.724	5.674
3	5	1979	1.641	9.367	0.183	20.716	0.682	3.882
4	5	1979	3.238	12.127	-0.219	23.088	0.68	2.198
5	5	1979	4.798	8.253	-0.809	17.69	0.815	2.919
6	5	1979	0.076	12.815	-0.604	24.931	0.725	2.534
7	5	1979	0.01	12.736	2.196	24.824	0.711	4.238
